【2020/09/06
36.プラネタリウムの真実/夏代孝明 ①yu-na*
37.インヤンカンケイ/和田たけあき ★ろあ
38.人間そっくり/しじま ①Klayn
39.こんな毎日だってうたになる/カルロス袴田 ×ちみ→×あざばて。→×きぐな
40.iDOLLA/Treow ★あー
41.ワールド・ランプシェード/buzzG ①ちみ
42.リトルビット・オトナヒット/lumo ②ちみ
43.ドブ街クズ通り44丁目へようこそ/テレカ ×きぐな→×激中華
44.re-born/ねじ式 ×ちみ→×Abbey
45.Rooter's Song/DECO*27 ②yu-na*
46.vividest/ANDLIVEBOiZ ×fuji#→①ホワイト
47.再演/RINGO ①てばこめめ
48.Sky Of Beginning/じん ★きぐな
49.ガラスの王冠/*Luna ③ちみ
50.夏崩レ片想ヒ/アオトケイ ①とりりす。
51.ヘイジー/センラ ×STN→×Klayn→×ちみ
52.ヌケガライド/ねじ式 ②fuji#
53.アンリアル黙示想/Omoi ②ホワイト
54.ヲズワルド/煮ル果実 ★ちみ
55.アウターサイエンス/じん ×あざばて。→②Abbey
56.Never Die/ゆよゆっぺ ③fuji#
57.HAPPY SHAPE/蜂屋ななし ②てばこめめ
58.ムーン/たま ③yu-na*
59.救世主はいなかった/YASUHIRO ×STN→×あざばて。→①しるばー
60.シナリオは雨と花束をラストシーンに選んだ─。/SLAVE.V-V-R ③ぺとぉせり
61.BEEP GIRL/40mP ★STN
62.シエレトワール/蝶々P ③ホワイト
63.かわらんね/アゴアニキ ①みせいねん
64.ホロン/wotaku ③てばこめめ
65.ラストサイレンス/メレル ★ホワイト
66.フルチカゾン/kiichi ×スルー
67.連想アクトレス～狩人と獣～/ひとしずくP・やま△ ×Klayn→×激中華→×しるばー
68.ヘイセイカタクリズム/ぷす ③Abbey
69.なりそこない/しとお ×スルー
70.いろはに人生帳/ひとしずくP・やま△ ②みせいねん
71.ミスリード・ミスリード/Omoi ★ぺとぉせり
72.ドレミファロンド/40mP ①あざばて。
73.ひとりぼっちのユーエフオー/ピノキオピー ②あざばて。
74.オクタゴン/ちいたな ★fuji#
75.よくばり/Ayase ×あざばて。→★yu-na*

【2020/10/11
01.ロヒプノール/楽園市街 ①てばこめめ
02.禁断少女プラスA/るなちゅ ①ぐりーん
03.シティー・ボーイ/Mitchie_M ×yu-na*→①あー
04.聖槍爆裂ボーイ/れるりり ①ちみ
05.カタストロフ/シグナルP ①とりりす。
06.ワーワーワールド/Mitchie_M・ギガ ①Abbey
07.神曲/おにゅうP ×ろあ→①フォルテ
08.金曜日のおはよう/HoneyWorks ①半ライス
09.さよならのかわりに/レフティーモンスター ①すべから
10.君と一緒の空間感じたい/のぼる↑ ×きぐな→×しゃい→×ゆゆ
11.ポートレート/バルーン ×STN→×あー→①てばこめめ
12.チット・チャット・マーチ！/Omoi ①とげ
13.Sleeping Awake/Aqu3ra ①Lyz.
14.アメリカ/じん ×きぐな→①しみら
15.好きって言って/ちいたな ①ろあ
16.みんなみくみくにしてあげる♪/ika ②あー
17.ゲイムオーバー/Relu ①きぐな
18.celluloid/baker ②きぐな
19.洗脳/Neru ×すべから→②ろあ
20.星屑オーケストラ/ハヤブサ ③ろあ
21.ライフライン/Junky ②ぐりーん
22.ノイローゼ/蜂屋ななし ③てばこめめ
23.はやくそれになりたい！/キノシタ ★ろあ
24.ロンリーユニバース/Aqu3ra ③ぐりーん
25.キャスティングミス/ユリイ・カノン・ウォルピスカーター ★てばこめめ
26.恋に溺れて/天月-あまつき- ×とげ→②ちみ
27.さよなら常識空間/cosMo(暴走P) ③あー
28.そらのサカナ/椎名もた ★あー
29.吉原ラメント/亜沙 ②すべから
30.ナポナポリターンマッチ/OSTER_project ③きぐな
31.心拍数#0822/蝶々P ★きぐな
32.廃墟の国のアリス/まふまふ ③すべから
33.Corruption Garden/Caz. ×Klayn→×しゃい
34.刹那プラス/みきとP ★すべから
35.あの夏のいつかは/*Luna ③ちみ
36.夏残照とカゲボウシ/Islet ×しみら→×Abbey
37.Genesis/ジミーサムP ②フォルテ
38.moonlit bear/悪ノP ★ぐりーん
39.てるみい/石風呂 ①yu-na*
40.コトバトラボラト/daniwell ×フォルテ→①はげお
41.壊れぬハートが欲しいのだ/石風呂 ②とげ
42.Tears River/みきとP ②しみら
43.UNBALANCE/シグナルP ×フォルテ→①しゃい＆海月
44.このふざけた素晴らしき世界は、僕のためにある/n.k ×しゃい＆海月→③とげ
45.Ready Steady/ギガ・q*Left ②Abbey
46.バツ猫/きくお ①STN
