contentId	song	title	artist.0	artist.1	rank	viewCounter	commentCounter	mylistCounter	likeCounter	userId	tags.0	tags.1	tags.2	tags.3	tags.4	tags.5	tags.6	tags.7	tags.8	tags.9	tags.10	startTime	thumbnailUrl	lengthSeconds	sub_artist.0
sm17172092	Sweet Sweet Cendrillon Drug (無力Pアレンジ)	【巡音ルカ】 Sweet Sweet Cendrillon Drug 【uz×無力P】	uzP		出題対象外	185904	2836	7301		11701964	VOCALOID	巡音ルカ	無力P	uzP	AO（絵師）	Sweet_Sweet_Cendrillon_Drug	VOCALOID殿堂入り	さらに評価されるべき	VOCALOID→VOCALOIDカバー	ラスボス用BGM	vocaloidアレンジ曲	2012-03-06T20:03:27+09:00	https://nicovideo.cdn.nimg.jp/thumbnails/17172092/17172092	262	
nm3942209	舎利禮文	【初音ミク】舎利禮文【オリジナル曲でお経カバー】	鉄風P		非公開	71,058	1,390	1,968		132859	音楽	初音ミク	ミクオリジナル曲		良作再浮上リンク	さとり教育	VOCALOID仏堂入り	鉄風P	舎利禮文	リア住ホイホイ	写経用BGM	2008-07-13T00:06:00+09:00		330	
sm42574953	∄ Nascence ∄	∄ Nascence ∄	∄∄∄∄∄			84826	840	1181		125899782	ボカコレ2023夏ルーキー参加曲	1	2	3	4	5	6	7	8	9	0	2023-08-04T19:14:03+09:00	https://nicovideo.cdn.nimg.jp/thumbnails/42574953/42574953.66680503	213	
sm24186428	文学者の恋文	「文学者の恋文」 オリジナル曲 Vo.初音ミク	doriko		非公開	288067	3251	7792		655340	VOCALOID	初音ミク名曲リンク	VOCALOID梅雨入り	ミクオリジナル曲	DAM&JOY配信中	文学者の恋文	VOCALOID殿堂入り	切ないミクうた	ティッシュ姫	ke-sanβ	doriko(きりたんP)	2014-08-08T11:38:17+09:00		327	
sm34922912	君は不幸になれない	君は不幸になれない/初音ミク	せき		非公開	7215	119	93		87274289	VOCALOID	ピアノミク	せき（ボカロP）	ボカロオリジナル曲	MIKuPOP	VOCALOID新曲リンク	初音ミク	ミクオリジナル曲	君は不幸になれない			2019-04-06T19:01:02+09:00		247	
sm31684772	オノマペット	「オノマペット」 オリジナル曲 Vo.初音ミク	doriko		非公開	48719	785	1066		655340	VOCALOID	doriko	初音ミク	ミクオリジナル曲	オノマペット	もっと評価されるべき	doriko(きりたんP)					2017-08-04T18:00:00+09:00		210	
sm31738794	君のいない世界には音も色もない	「君のいない世界には音も色もない」 MV 初音ミク	doriko		非公開	114002	1580	2719		655340	VOCALOID	doriko	初音ミク	ミクオリジナル曲	君のいない世界には音も色もない	nezuki	ボカロバラード	ききいるミクうた	初音ミク誕生祭2017	VOCALOID殿堂入り	doriko(きりたんP)	2017-08-14T18:00:00+09:00		290	
sm30022509	アオイヒマワリ	アオイヒマワリ／MIRAISONIC feat.Fukase&鏡音レン	MIRAISONIC		削除済	13512	318	225		55586278	VOCALOID	鏡音レン	VOCALOIDFukase	VOCALOIDオリジナル曲	MIRAISONIC	納得の感動	さらに評価されるべき	神調教	驚異的な中毒性	VOCAROCK	アオイヒマワリ	2016-11-11T19:00:00+09:00		216	
sm24822550	あー	【鏡音レン】 あー 【オリジナル曲(MV)】（JOYSOUND配信中）	トマ豆腐		削除済	90,631	2,231	2,708		11835687	VOCALOID	鏡音レン	レンオリジナル曲	JOYSOUND配信中	驚異的な中毒性	神調教	おれらのうた	VOCALOID殿堂入り直前	鏡音レン名曲リンク	トマ豆腐	あー（トマ豆腐）	2014-11-02T09:00:00+09:00		200	
sm25764366	泥の中の花	【初音ミク】泥の中の花【オリジナル】	オカメP		削除済	10461	124	238		4082746	VOCALOID	初音ミク	ミクオリジナル曲	オカメP	Ruuya	泥の中の花	VOCAROCK	VOCALOUD	切ないミクうた	もっと評価されるべき		2015-03-11T18:53:15+09:00		240	
